# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: x
#   datatype: int32
# - name: y
#   datatype: int32
# - name: sep
#   datatype: float64
# - name: weight
#   datatype: float64
# schema: astropy-2.0
sexcat_id x y sep weight
76 910 2102 9.226124321728879 1.7397766633210046
76 911 2102 8.845528248781823 1.8646689403645338
76 912 2102 8.565358719866747 1.958026823244582
76 910 2103 8.332788848878716 2.02397898788489
76 911 2103 7.90932171554537 2.198369176524318
76 912 2103 7.594693542204163 2.3336309796323174
76 913 2103 7.40279474252783 2.4093661457840923
76 910 2104 7.466550073494303 2.3590963307171493
76 911 2104 6.990806105163971 2.606618847980759
76 912 2104 6.632749806829587 2.8077612907217753
76 913 2104 6.4121267922584 2.9266185746386397
76 914 2104 6.343293308684225 2.9372616748308027
76 910 2105 6.6380245555434705 2.7490335049407846
76 911 2105 6.097980813351101 3.105629300051194
76 912 2105 5.683957248255675 3.4136458652736086
76 913 2105 5.424884330563953 3.608096905724138
76 914 2105 5.3433482012684115 3.6349646813435457
76 915 2105 5.447326867372514 3.4859115272620897
76 910 2106 5.86322181057466 3.1902569213979515
76 911 2106 5.243984172363458 3.708982044258022
76 912 2106 4.756192805175011 4.195587240283213
76 913 2106 4.443351212767071 4.531160575341897
76 914 2106 4.34342836938733 4.594054594598572
76 915 2106 4.470723655069585 4.35733701135358
76 916 2106 4.807220610706234 3.9154329295710446
76 909 2107 5.964006203886665 3.022374625446643
76 910 2107 5.166369131217658 3.662736811832441
76 911 2107 4.4512211807546445 4.414870622210419
76 912 2107 3.8646306421181884 5.204979474959234
76 913 2107 3.472372387863795 5.825052906071043
76 914 2107 3.343556489727515 5.97622704308669
76 915 2107 3.50733089399889 5.563800106514894
76 916 2107 3.9272598589855403 4.825241601970745
76 917 2107 4.532700078319676 4.037319393634576
76 909 2108 5.466568393425526 3.301144366330139
76 910 2108 4.583161572539092 4.117174018527399
76 911 2108 3.758639381478233 5.175202956227889
76 912 2108 3.0412776920233946 6.467054390545255
76 913 2108 2.524157285115018 7.710793250906617
76 914 2108 2.3437939329214266 8.11749263058223
76 915 2108 2.572036158377125 7.287707551303203
76 916 2108 3.1204759252395187 5.959807804125777
76 917 2108 3.854785337732764 4.745260668283292
76 918 2108 4.688429374534672 3.783222448091411
76 909 2109 5.118336643871643 3.498594042025408
76 910 2109 4.1616547189788955 4.468032223127067
76 911 2109 3.231310879503763 5.844809092239627
76 912 2109 2.358679715433923 7.840723953441853
76 913 2109 1.6387098583945612 10.499372218194837
76 914 2109 1.3443846175851588 11.894456977665328
76 915 2109 1.7115402420041619 9.759481494468432
76 916 2109 2.459953251588277 7.231434930874626
76 917 2109 3.3426591211189645 5.424331187319681
76 918 2109 4.2773087333041415 4.174994108161649
76 908 2110 5.948896536333396 2.833318417517662
76 909 2110 4.950895878525375 3.572077483818525
76 910 2110 3.953905664023816 4.616011520357811
76 911 2110 2.958947447995602 6.175296792727981
76 912 2110 1.9691038570882333 8.716044199127358
76 913 2110 0.9996849503717802 13.560857558650559
76 914 2110 0.3483819742752192 21.32355712160527
76 915 2110 1.1150650205256958 12.513714811809773
76 916 2110 2.089346787874153 8.21000334779908
76 917 2110 3.080157463507363 5.878127483659003
76 918 2110 4.075459483297581 4.422351298961986
76 919 2110 5.072609781956449 3.4375222575659277
76 907 2111 6.970033715843827 2.2558816122107026
76 908 2111 5.975229702697611 2.7861073418576314
76 909 2111 4.982506397386746 3.5032958240219516
76 910 2111 3.9934158310899606 4.508973417806285
76 911 2111 3.011539473425509 5.990683211892445
76 912 2111 2.047283566094366 8.3341123713932
76 913 2111 1.1460235599673045 12.394341940809412
76 914 2111 0.6598257345695188 17.076395325162675
76 915 2111 1.2479463129479071 12.128676506794962
76 916 2111 2.1631851515763385 8.18499401406815
76 917 2111 3.1307139760764504 5.899942131227832
76 918 2111 4.113802377363367 4.4490225138177655
76 919 2111 5.103466468979742 3.4613599346919193
76 920 2111 6.096504736322332 2.755548818215939
76 907 2112 7.134099102199241 2.1715040219920017
76 908 2112 6.165822735045185 2.661504097113846
76 909 2112 5.209546045482289 3.3094181103353257
76 910 2112 4.2733324232968615 4.185278588944036
76 911 2112 3.37392501398598 5.394035560613196
76 912 2112 2.5505626830172923 7.06538686256185
76 913 2112 1.9045655672621091 9.15137712060636
76 914 2112 1.6581224321504462 10.459084920227117
76 915 2112 1.967579731548529 9.271664470179592
76 916 2112 2.644498062014917 7.179410737847867
76 917 2112 3.4807140072118425 5.47807771582508
76 918 2112 4.38604263545178 4.245745388894327
76 919 2112 5.325351631582732 3.3536458157431044
76 908 2113 6.506256219977844 2.480156170918804
76 909 2113 5.608330411093881 3.0326142470590773
76 910 2113 4.751354543706514 3.74121985790921
76 911 2113 3.9619906612712508 4.6399036996790395
76 912 2113 3.2892810764665086 5.718281795953148
76 913 2113 2.818043647639395 6.792717761940786
76 914 2113 2.657700133574293 7.347743077407286
76 915 2113 2.861008563426696 6.940176851290543
76 916 2113 3.362643305496579 5.908209355558979
76 917 2113 4.053315926497838 4.809934115431363
76 909 2114 6.145516251707481 2.718844252717619
76 910 2114 5.37488325454617 3.2673499111358284
76 911 2114 4.691627649334601 3.909435491514601
76 912 2114 4.139247516155682 4.5988735574062485
76 913 2114 3.775628424514395 5.201228384242505
76 914 2114 3.657508714959012 5.493608216003927
76 915 2114 3.807803828980846 5.323063382261436
76 912 2115 5.044538631034684 3.7252975300141973
76 913 2115 4.750723102855118 4.090424764318647
76 914 2115 4.657399488985396 4.265250060026647
