# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24707.r.ut190425.1115_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
34 1060426 259.92896997 -1.2561695166 17.082 r 17.0454 328
593 1112186 260.0871769 -1.2218574566 16.92 r 16.827 342
910 246780 259.94131491 -1.1962485498 15.844 r 15.8242 831
990 263850 260.0680095 -1.1935710881 16.554 r 16.6061 418
1188 432155 260.13031594 -1.1710962214 16.219 r 15.6821 1463
1498 1060436 260.17862613 -1.1660260857 17.177 r 17.1395 278
1577 246781 259.9959874 -1.1451524958 16.106 r 16.2008 710
1739 132495 260.16986825 -1.14918333 16.013 r 16.1237 466
1826 432157 260.01764941 -1.142234089 16.409 r 16.2468 521
2000 429775 259.99021258 -1.13035957 16.446 r 16.7797 479
2037 246794 260.19048206 -1.1308236521 16.907 r 17.0849 277
2122 327965 260.19898119 -1.1118471842 16.59 r 14.6728 2654
2145 429774 259.91339196 -1.1187324284 16.573 r 16.6007 485
2146 429773 260.00122161 -1.1235772672 16.54 r 16.4722 469
3120 246788 260.23344224 -1.0525547115 15.381 r 15.3611 1295
3186 432158 260.0204062 -1.053072575 17.231 r 16.8929 337
3222 432152 259.83399059 -1.0514571656 16.201 r 16.2513 583
3273 34015 260.19383722 -1.0431048203 15.196 r 15.4224 1233
3462 246793 260.23030277 -1.0372680704 16.746 r 16.9829 267
3557 328060 259.9068345 -1.0187805939 17.64 r 15.2126 1852
3600 432159 260.07487087 -1.0248012338 16.505 r 16.5125 613
3693 21677 260.20574437 -1.0150202304 15.176 r 15.3107 1299
3874 1060437 260.25134911 -1.0083301684 16.689 r 16.9871 416
3922 429778 260.2224121 -1.0062378385 17.19 r 17.2704 322
3954 246791 260.21830305 -0.99932650543 15.706 r 15.7872 957
4154 12325 260.11737677 -0.97962624497 14.909 r 14.9643 2165
4681 1112187 260.12380159 -0.96075483295 17.344 r 17.4444 223
5002 246792 260.16662199 -0.93316851175 16.155 r 16.2267 656
5103 246787 260.14876587 -0.93078937132 16.895 r 17.0359 340
5226 432154 259.90006488 -0.92380130549 17.322 r 17.3499 305
6869 328255 260.03103157 -0.85443073799 17.04 r 15.0851 1665
