# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae15132.r.ut190425.1110_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
1015 1224526 244.85551949 18.352526401 18.12 r 17.2296 324
1085 622043 244.91014556 18.368805055 18.31 r 17.1021 312
1222 622098 244.83438964 18.408569114 18.23 r 17.016 363
1312 622125 244.92280677 18.425296647 18.3 r 17.2495 358
1324 1127510 244.80174899 18.425546408 18.69 r 17.5938 195
1420 474279 244.80590227 18.45078156 17.997 r 16.833 377
1469 56762 244.87348894 18.464418943 16.144 r 15.3164 1099
1480 1224644 244.95621256 18.458752776 18.26 r 17.2488 287
1499 56530 244.87398913 18.480399509 15.239 r 15.1052 2489
2116 62530 244.89104158 18.578755448 15.227 r 15.2107 1941
