# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae15132.r.ut190428.4148_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
1246 1224526 244.85551884 18.352500292 18.12 r 17.1794 331
1320 622043 244.91021075 18.36879601 18.31 r 16.9724 392
1489 622098 244.83437879 18.408562733 18.23 r 16.9127 407
1614 622125 244.92280433 18.425317234 18.3 r 17.176 393
1629 1127510 244.80175454 18.425578553 18.69 r 17.5086 210
1758 474279 244.80587233 18.450796769 17.997 r 16.6849 469
1810 56762 244.87348643 18.464409623 16.144 r 15.2066 1271
1821 1224644 244.95598757 18.45866454 18.26 r 17.0599 376
1850 56530 244.8739793 18.48039593 15.239 r 14.9987 2711
2563 62530 244.89104527 18.578760502 15.227 r 15.1106 2079
