# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae16234.r.ut190425.1113_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
94 6736 247.40067661 15.658471711 14.261 r 13.4173 5092
699 361364 247.22496763 15.760656514 18.3 r 17.2365 284
830 1222377 247.21054443 15.785419406 19.01 r 17.6129 213
836 125630 247.28782775 15.791206351 17.206 r 16.2811 432
844 361379 247.49353603 15.793165132 17.99 r 17.0698 343
949 1409550 247.15676462 15.809106605 19.12 r 17.7642 166
970 462821 247.59987093 15.818872009 16.953 r 16.4988 688
1027 1409618 247.60114698 15.82653055 18.35 r 17.1385 241
1234 1412515 247.12229426 15.865935122 18.88 r 17.5205 188
2191 1430361 247.31947804 16.037189377 18.19 r 17.4919 197
2347 69406 247.42025468 16.082251662 16.346 r 15.3696 899
