# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24707.r.ut190623.1058_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
26 1060425 259.94648835 -1.2637913327 17.521 r 17.2272 159
128 1060426 259.92896622 -1.2561713524 17.082 r 17.1623 191
530 1112186 260.08719741 -1.221860979 16.92 r 16.9816 183
763 246780 259.94131513 -1.1962528901 15.844 r 15.9837 432
807 263850 260.06804364 -1.1935830852 16.554 r 16.619 287
1010 432155 260.13021085 -1.1712557173 16.219 r 15.8724 753
1178 1060436 260.17869202 -1.1660179865 17.177 r 17.2319 173
1387 132495 260.16985984 -1.1491741394 16.013 r 16.1902 332
1413 246781 259.99602168 -1.1451050726 16.106 r 16.2666 379
1450 432157 260.0176492 -1.1422286064 16.409 r 16.4015 300
1569 429775 259.99024276 -1.1303901833 16.446 r 16.8831 264
1578 246794 260.19049343 -1.1308361121 16.907 r 17.1667 173
1653 429773 260.00124746 -1.1235740513 16.54 r 16.6157 248
1685 327965 260.19898862 -1.1118025472 16.59 r 14.7521 1452
1688 429774 259.91335059 -1.1187891855 16.573 r 16.7279 292
2402 246788 260.23340327 -1.0525178709 15.381 r 15.4819 743
2427 432158 260.02042687 -1.0531457214 17.231 r 16.9986 239
2459 432152 259.8339346 -1.0515209742 16.201 r 16.4921 266
2501 328042 260.19386763 -1.0430598767 17.32 r 15.5409 675
2599 246793 260.23031985 -1.0372709177 16.746 r 17.0673 193
2717 32888 259.90677921 -1.0187883222 15.841 r 15.3665 1011
2722 432159 260.07496374 -1.0248717935 16.505 r 16.7147 212
2785 21677 260.20568361 -1.015069278 15.176 r 15.4451 729
2921 1060437 260.25140286 -1.0083209969 16.689 r 17.1308 170
2952 429778 260.22240647 -1.0062468977 17.19 r 17.4205 140
2979 246791 260.21830216 -0.99932181032 15.706 r 15.9407 592
3116 12325 260.11737813 -0.97957934122 14.909 r 15.1048 978
3464 1112187 260.12381303 -0.9607764758 17.344 r 17.6772 110
3704 246792 260.16649168 -0.93300406672 16.155 r 16.4209 327
3779 246787 260.14861907 -0.93069440495 16.895 r 16.9904 208
3865 432154 259.8999925 -0.92386526607 17.322 r 17.3799 140
4855 328255 260.03082859 -0.85400512343 17.04 r 15.0489 1043
