# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24707.r.ut190623.1058_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
26 1060425 259.94648835 -1.2637913327 17.521 r 17.2272 159 5.302 3082.815 303.234 0.1431866 0.12055417 -0.1279667 3.866 2.254 50.0 0.417
128 1060426 259.92896622 -1.2561713524 17.082 r 17.1623 191 5.242 3227.795 366.291 0.12054053 0.079451703 -0.038870305 3.734 2.792 68.3 0.252
530 1112186 260.08719741 -1.221860979 16.92 r 16.9816 183 4.743 1918.595 650.263 0.085473381 0.13545443 -0.0063985498 3.425 2.715 3.6 0.207
763 246780 259.94131513 -1.1962528901 15.844 r 15.9837 432 5.576 3125.637 862.179 0.067288287 0.046633713 -0.00105191 4.631 3.855 88.5 0.168
807 263850 260.06804364 -1.1935830852 16.554 r 16.619 287 6.575 2077.072 884.291 0.096534394 0.043477155 0.018011432 4.88 3.194 -80.6 0.345
1010 432155 260.13021085 -1.1712557173 16.219 r 15.8724 753 12.827 1562.689 1069.061 0.027559999 0.016887164 0.0040480932 7.781 5.984 -79.6 0.231
1178 1060436 260.17869202 -1.1660179865 17.177 r 17.2319 173 4.551 1161.545 1112.392 0.094010308 0.12622452 0.032680176 3.387 2.741 -22.7 0.191
1387 132495 260.16985984 -1.1491741394 16.013 r 16.1902 332 4.492 1234.619 1251.794 0.056539062 0.11625361 -0.080772482 5.258 2.705 26.8 0.485
1413 246781 259.99602168 -1.1451050726 16.106 r 16.2666 379 8.304 2672.996 1285.487 0.041840099 0.063582875 0.004508222 4.902 3.959 -5.9 0.193
1450 432157 260.0176492 -1.1422286064 16.409 r 16.4015 300 5.389 2494.045 1309.295 0.068688653 0.077487841 0.000610555 3.816 3.592 -2.0 0.059
1569 429775 259.99024276 -1.1303901833 16.446 r 16.8831 264 7.177 2720.814 1407.265 0.06225713 0.069555871 0.031005142 4.473 3.496 -38.4 0.218
1578 246794 260.19049343 -1.1308361121 16.907 r 17.1667 173 4.647 1063.884 1403.55 0.086957328 0.14509386 0.055684544 3.633 2.53 -21.9 0.304
1653 429773 260.00124746 -1.1235740513 16.54 r 16.6157 248 5.273 2629.759 1463.677 0.073033988 0.10174823 -0.034198392 3.92 3.019 25.0 0.23
1685 327965 260.19898862 -1.1118025472 16.59 r 14.7521 1452 16.555 993.585 1561.067 0.016274108 0.012451888 0.0040269354 9.29 7.638 -66.8 0.178
1688 429774 259.91335059 -1.1187891855 16.573 r 16.7279 292 6.442 3357.046 1503.253 0.095292106 0.078429997 0.11748322 6.028 2.615 -49.1 0.566
2402 246788 260.23340327 -1.0525178709 15.381 r 15.4819 743 10.029 708.796 2051.685 0.018536514 0.037909046 -0.011069646 7.655 5.039 14.9 0.342
2427 432158 260.02042687 -1.0531457214 17.231 r 16.9986 239 6.446 2471.068 2046.534 0.11964667 0.043368928 0.070788577 5.825 2.736 -68.6 0.53
2459 432152 259.8339346 -1.0515209742 16.201 r 16.4921 266 9.434 4014.2 2059.921 0.057385571 0.080299765 -0.044144467 4.769 3.267 31.3 0.315
2501 328042 260.19386763 -1.0430598767 17.32 r 15.5409 675 7.645 1035.932 2129.976 0.033950366 0.049421113 -0.043113481 7.297 3.935 35.1 0.461
2599 246793 260.23031985 -1.0372709177 16.746 r 17.0673 193 4.168 734.303 2177.869 0.077312224 0.14191422 -0.046218876 3.782 2.588 17.8 0.316
2717 32888 259.90677921 -1.0187883222 15.841 r 15.3665 1011 14.108 3411.456 2330.847 0.018117515 0.014233877 -0.0030772407 8.544 7.322 70.8 0.143
2722 432159 260.07496374 -1.0248717935 16.505 r 16.7147 212 13.176 2019.802 2280.526 0.070262052 0.066833496 0.0048072529 3.904 3.74 -62.7 0.042
2785 21677 260.20568361 -1.015069278 15.176 r 15.4451 729 6.995 938.148 2361.619 0.032155175 0.037591428 -0.0018369148 5.59 5.147 9.3 0.079
2921 1060437 260.25140286 -1.0083209969 16.689 r 17.1308 170 9.281 559.834 2417.446 0.086737409 0.12685764 0.10268941 4.399 2.485 -34.3 0.435
2952 429778 260.22240647 -1.0062468977 17.19 r 17.4205 140 7.421 799.769 2434.625 0.098504864 0.13479678 -0.056474678 3.469 2.58 28.6 0.256
2979 246791 260.21830216 -0.99932181032 15.706 r 15.9407 592 9.276 833.727 2491.938 0.025213154 0.035844538 -0.015899928 6.906 4.994 28.1 0.277
3116 12325 260.11737813 -0.97957934122 14.909 r 15.1048 978 14.129 1668.834 2655.355 0.020784874 0.024953689 -0.00063465431 6.94 6.327 4.3 0.088
3464 1112187 260.12381303 -0.9607764758 17.344 r 17.6772 110 4.674 1615.584 2810.964 0.14068954 0.17073575 -0.010002393 2.674 2.414 9.2 0.097
3704 246792 260.16649168 -0.93300406672 16.155 r 16.4209 327 7.079 1262.421 3040.795 0.075360432 0.054126393 0.00144952 4.299 3.642 -88.0 0.153
3779 246787 260.14861907 -0.93069440495 16.895 r 16.9904 208 6.359 1410.313 3059.914 0.071583852 0.12683748 -0.10347338 4.965 2.517 30.9 0.493
3865 432154 259.8999925 -0.92386526607 17.322 r 17.3799 140 7.742 3467.65 3116.418 0.11544427 0.10728532 0.014844303 3.117 2.889 -59.4 0.073
4855 328255 260.03082859 -0.85400512343 17.04 r 15.0489 1043 12.386 2385.007 3694.6 0.021528315 0.019261263 -0.025214942 11.369 5.5 47.6 0.516
