# %ECSV 0.9
# ---
# datatype:
# - name: img_file
#   datatype: unicode
# - name: num_masked_pix
#   datatype: int32
# - name: total_pix
#   datatype: int32
# - name: normalization
#   datatype: float64
# schema: astropy-2.0
img_file num_masked_pix total_pix normalization
s005aae26051.i.ut190425.1060_stch_1.sw.fits 3743876 20250000 0.8151172345679012
s005aae26051.i.ut190429.5102_stch_1.sw.fits 3466281 20250000 0.8288256296296296
s005aae26547.i.ut190425.1063_stch_1.sw.fits 3497151 20250000 0.8273011851851851
s005aae26547.i.ut190429.5091_stch_1.sw.fits 3731367 20250000 0.815734962962963
s005aae27067.i.ut190425.1059_stch_1.sw.fits 3596340 20250000 0.822402962962963
s005aae27067.i.ut190429.5103_stch_1.sw.fits 3657596 20250000 0.819377975308642
s005aae27609.i.ut190425.1058_stch_1.sw.fits 3691989 20250000 0.8176795555555556
s005aae27609.i.ut190429.5104_stch_1.sw.fits 3467942 20250000 0.8287436049382716
s005aae27872.i.ut190425.1057_stch_1.sw.fits 3614532 20250000 0.8215045925925926
s005aae27872.i.ut190429.5105_stch_1.sw.fits 3517827 20250000 0.8262801481481481
s005aae28130.i.ut190425.1056_stch_1.sw.fits 3804392 20250000 0.8121287901234568
s005aae28130.i.ut190429.5107_stch_1.sw.fits 3568939 20250000 0.8237560987654321
s005aae29437.i.ut190425.1054_stch_1.sw.fits 3547446 20250000 0.8248174814814815
s005aae29437.i.ut190429.5108_stch_1.sw.fits 3565214 20250000 0.823940049382716
s005aae30744.i.ut190425.1055_stch_1.sw.fits 3628018 20250000 0.8208386172839506
s005aae30744.i.ut190429.5106_stch_1.sw.fits 3587311 20250000 0.8228488395061728
s005aae31407.i.ut190428.4033_stch_1.sw.fits 3468253 20250000 0.8287282469135803
s005aae32029.i.ut190425.1053_stch_1.sw.fits 3823853 20250000 0.8111677530864198
s005aae32029.i.ut190425.1086_stch_1.sw.fits 3471147 20250000 0.8285853333333333
s005aae32029.i.ut190429.5117_stch_1.sw.fits 3465259 20250000 0.8288760987654321
s005aae3241.i.ut190425.1093_stch_1.sw.fits 3466628 20250000 0.8288084938271605
s005aae3241.i.ut190429.5130_stch_1.sw.fits 3975546 20250000 0.8036767407407407
s005aae32806.i.ut190425.1051_stch_1.sw.fits 3681741 20250000 0.8181856296296296
s005aae32806.i.ut190429.5125_stch_1.sw.fits 3470137 20250000 0.8286352098765432
s005aae33056.i.ut190425.1050_stch_1.sw.fits 3502366 20250000 0.8270436543209877
s005aae33056.i.ut190429.5089_stch_1.sw.fits 3584424 20250000 0.8229914074074074
s005aae33057.i.ut190425.1052_stch_1.sw.fits 4471296 20250000 0.7791952592592593
s005aae33057.i.ut190429.5118_stch_1.sw.fits 3487276 20250000 0.8277888395061729
s005aae33318.i.ut190425.1049_stch_1.sw.fits 3461874 20250000 0.8290432592592593
s005aae33318.i.ut190429.5088_stch_1.sw.fits 3465298 20250000 0.8288741728395062
s005aae37244.i.ut190425.1015_stch_1.sw.fits 3471553 20250000 0.8285652839506172
s005aae37244.i.ut190428.4044_stch_1.sw.fits 3470204 20250000 0.8286319012345679
