# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae16453.r.ut190425.1114_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
125 333651 247.50440482 15.156918877 17.63 r 16.6142 556 7.607 1093.66 503.306 0.037493154 0.030786617 -0.0054454231 5.791 5.099 70.5 0.119
166 69229 247.17367614 15.166664607 17.192 r 16.2516 439 4.146 3735.467 584.21 0.059207942 0.074220479 0.026275543 4.403 3.495 -30.1 0.206
632 476133 247.20009571 15.249374302 18.052 r 16.9983 301 4.524 3523.93 1268.545 0.094476826 0.087340377 0.099846676 4.947 2.664 -47.0 0.462
638 362665 247.17729215 15.247361394 18.71 r 17.5546 172 3.153 3706.02 1252.029 0.10386124 0.16381347 -0.045529064 3.224 2.415 18.6 0.251
730 333695 247.38318715 15.271576438 18.58 r 17.4533 331 8.196 2062.055 1451.832 0.13529789 0.025743581 0.063197844 7.607 2.637 -75.0 0.653
759 69254 247.43216877 15.276987672 16.493 r 15.6714 988 7.606 1671.019 1496.701 0.024603795 0.029885281 -0.013185248 7.046 5.396 34.1 0.234
869 493126 247.38323027 15.299726934 16.32 r 15.6877 1049 8.7 2061.737 1684.802 0.038697865 0.026152676 0.043756764 10.172 4.257 -53.0 0.581
1364 493223 247.25725577 15.389950975 17.353 r 16.2991 437 4.484 3066.983 2431.667 0.085365199 0.051261205 -0.042120986 4.926 3.237 64.5 0.343
1491 361372 247.35058918 15.410048623 18.59 r 17.8052 173 4.721 2322.258 2597.801 0.12254143 0.097059697 0.037851911 3.391 2.746 -62.0 0.19
2108 333795 247.3469842 15.573424335 18.24 r 17.2321 291 5.657 2350.941 3949.884 0.072885469 0.056708567 -0.0019629218 4.201 3.703 86.5 0.119
2118 1430568 247.54147985 15.574656696 18.82 r 17.905 176 4.331 800.41 3960.698 0.1510639 0.10469252 -0.14358543 4.367 2.218 53.9 0.492
2279 69307 247.24737311 15.541321155 17.171 r 16.1329 507 4.289 3145.188 3684.431 0.09597005 0.033760399 -0.014007828 5.506 3.215 83.7 0.416
2340 361373 247.35603563 15.533654865 18.48 r 17.7298 234 5.988 2278.788 3620.751 0.063749775 0.088866137 0.056189161 4.686 3.056 -33.0 0.348
2483 493410 247.53267149 15.605390775 16.468 r 16.3811 676 8.23 870.835 4214.996 0.044988915 0.019894753 0.021933937 7.961 4.513 -69.4 0.433
2504 1412516 247.58944025 15.6097864 19.04 r 17.8532 164 3.865 418.372 4251.802 0.12134625 0.11883368 -0.0045279418 2.917 2.855 59.5 0.021
2549 333806 247.18562526 15.598447815 18.64 r 17.4704 242 4.954 3637.145 4157.541 0.082045905 0.081821702 -0.0019435427 3.515 3.473 48.3 0.012
