# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: x
#   datatype: int32
# - name: y
#   datatype: int32
# schema: astropy-2.0
sexcat_id x y
259 3153 918
259 3154 918
259 3155 918
259 3156 918
259 3157 918
259 3158 918
259 3159 918
259 3160 918
259 3161 918
259 3162 918
259 3163 918
259 3164 918
259 3165 918
259 3166 918
259 3167 918
259 3168 918
259 3134 919
259 3135 919
259 3136 919
259 3137 919
259 3138 919
259 3139 919
259 3140 919
259 3141 919
259 3142 919
259 3143 919
259 3144 919
259 3145 919
259 3146 919
259 3147 919
259 3148 919
259 3149 919
259 3150 919
259 3151 919
259 3152 919
259 3153 919
259 3154 919
259 3155 919
259 3156 919
259 3157 919
259 3158 919
259 3159 919
259 3160 919
259 3161 919
259 3162 919
259 3163 919
259 3164 919
259 3165 919
259 3166 919
259 3167 919
259 3168 919
259 3134 920
259 3135 920
259 3136 920
259 3137 920
259 3138 920
259 3139 920
259 3140 920
259 3141 920
259 3142 920
259 3143 920
259 3144 920
259 3145 920
259 3146 920
259 3147 920
259 3148 920
259 3149 920
259 3150 920
259 3151 920
259 3152 920
259 3153 920
259 3154 920
259 3155 920
259 3156 920
259 3157 920
259 3158 920
259 3159 920
259 3160 920
259 3161 920
259 3162 920
259 3163 920
259 3164 920
259 3165 920
259 3166 920
259 3167 920
259 3168 920
259 3169 920
259 3134 921
259 3135 921
259 3136 921
259 3137 921
259 3138 921
259 3139 921
259 3140 921
259 3141 921
259 3142 921
259 3143 921
259 3144 921
259 3145 921
259 3146 921
259 3147 921
259 3148 921
259 3149 921
259 3150 921
259 3151 921
259 3152 921
259 3153 921
259 3154 921
259 3155 921
259 3156 921
259 3157 921
259 3158 921
259 3159 921
259 3160 921
259 3161 921
259 3162 921
259 3163 921
259 3164 921
259 3165 921
259 3166 921
259 3167 921
259 3168 921
259 3169 921
259 3134 922
259 3135 922
259 3136 922
259 3137 922
259 3138 922
259 3139 922
259 3140 922
259 3141 922
259 3142 922
259 3143 922
259 3144 922
259 3145 922
259 3146 922
259 3147 922
259 3148 922
259 3149 922
259 3150 922
259 3151 922
259 3152 922
259 3153 922
259 3154 922
259 3155 922
259 3156 922
259 3157 922
259 3158 922
259 3159 922
259 3160 922
259 3161 922
259 3162 922
259 3163 922
259 3164 922
259 3165 922
259 3166 922
259 3167 922
259 3168 922
259 3169 922
259 3135 923
259 3136 923
259 3137 923
259 3138 923
259 3139 923
259 3140 923
259 3141 923
259 3142 923
259 3143 923
259 3144 923
259 3145 923
259 3146 923
259 3147 923
259 3148 923
259 3149 923
259 3150 923
259 3151 923
259 3152 923
259 3153 923
259 3154 923
259 3155 923
259 3156 923
259 3157 923
259 3158 923
259 3159 923
259 3160 923
259 3161 923
259 3162 923
259 3163 923
259 3164 923
259 3165 923
259 3166 923
259 3167 923
259 3168 923
259 3169 923
259 3170 923
259 3135 924
259 3136 924
259 3137 924
259 3138 924
259 3139 924
259 3140 924
259 3141 924
259 3142 924
259 3143 924
259 3144 924
259 3145 924
259 3146 924
259 3147 924
259 3148 924
259 3149 924
259 3150 924
259 3151 924
259 3152 924
259 3153 924
259 3154 924
259 3155 924
259 3156 924
259 3157 924
259 3158 924
259 3159 924
259 3160 924
259 3161 924
259 3162 924
259 3163 924
259 3164 924
259 3165 924
259 3166 924
259 3167 924
259 3168 924
259 3169 924
259 3170 924
259 3136 925
259 3137 925
259 3138 925
259 3139 925
259 3140 925
259 3141 925
259 3142 925
259 3143 925
259 3144 925
259 3145 925
259 3146 925
259 3147 925
259 3148 925
259 3149 925
259 3150 925
259 3151 925
259 3152 925
259 3153 925
259 3154 925
259 3155 925
259 3156 925
259 3157 925
259 3158 925
259 3159 925
259 3160 925
259 3161 925
259 3162 925
259 3163 925
259 3164 925
259 3165 925
259 3166 925
259 3167 925
259 3168 925
259 3169 925
259 3170 925
259 3136 926
259 3137 926
259 3138 926
259 3139 926
259 3140 926
259 3141 926
259 3142 926
259 3143 926
259 3144 926
259 3145 926
259 3146 926
259 3147 926
259 3148 926
259 3149 926
259 3150 926
259 3151 926
259 3152 926
259 3153 926
259 3154 926
259 3155 926
259 3156 926
259 3157 926
259 3158 926
259 3159 926
259 3160 926
259 3161 926
259 3162 926
259 3163 926
259 3164 926
259 3165 926
259 3166 926
259 3167 926
259 3168 926
259 3169 926
259 3170 926
259 3137 927
259 3138 927
259 3139 927
259 3140 927
259 3141 927
259 3142 927
259 3143 927
259 3144 927
259 3145 927
259 3146 927
259 3147 927
259 3148 927
259 3149 927
259 3150 927
259 3151 927
259 3152 927
259 3153 927
259 3154 927
259 3155 927
259 3156 927
259 3157 927
259 3158 927
259 3159 927
