# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae16453.r.ut190425.1114_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
125 333651 247.50440482 15.156918877 17.63 r 16.6142 556
166 69229 247.17367614 15.166664607 17.192 r 16.2516 439
632 476133 247.20009571 15.249374302 18.052 r 16.9983 301
638 362665 247.17729215 15.247361394 18.71 r 17.5546 172
730 333695 247.38318715 15.271576438 18.58 r 17.4533 331
759 69254 247.43216877 15.276987672 16.493 r 15.6714 988
869 493126 247.38323027 15.299726934 16.32 r 15.6877 1049
1364 493223 247.25725577 15.389950975 17.353 r 16.2991 437
1491 361372 247.35058918 15.410048623 18.59 r 17.8052 173
2108 333795 247.3469842 15.573424335 18.24 r 17.2321 291
2118 1430568 247.54147985 15.574656696 18.82 r 17.905 176
2279 69307 247.24737311 15.541321155 17.171 r 16.1329 507
2340 361373 247.35603563 15.533654865 18.48 r 17.7298 234
2483 493410 247.53267149 15.605390775 16.468 r 16.3811 676
2504 1412516 247.58944025 15.6097864 19.04 r 17.8532 164
2549 333806 247.18562526 15.598447815 18.64 r 17.4704 242
