# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae16005.r.ut190425.1112_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
5 1222732 246.36063005 16.121592389 18.98 r 17.6257 181
206 619397 246.103202 16.165025684 18.74 r 17.4161 295
1026 277383 246.23313374 16.327917666 17.83 r 17.104 312
1177 494111 246.39025245 16.364175301 16.733 r 16.2645 573
1542 12292 246.40848028 16.455032159 14.227 r 13.637 5045
1850 1409405 246.29581887 16.50037962 18.86 r 17.8745 200
1875 361312 246.21811781 16.504487755 18.27 r 17.5867 215
2068 1412807 246.119076 16.539040277 19.15 r 17.8332 182
2181 682055 246.13456038 16.521130653 18.36 r 17.4051 194
2259 12547 246.45781654 16.576219438 14.622 r 14.0157 4327
