# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# - name: flux_radius
#   datatype: float64
# - name: x
#   datatype: float64
# - name: y
#   datatype: float64
# - name: cxx
#   datatype: float64
# - name: cyy
#   datatype: float64
# - name: cxy
#   datatype: float64
# - name: A
#   datatype: float64
# - name: B
#   datatype: float64
# - name: theta
#   datatype: float64
# - name: ellip
#   datatype: float64
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24707.r.ut190428.4153_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels flux_radius x y cxx cyy cxy A B theta ellip
112 1060425 259.94613849 -1.263561353 17.521 r 17.1979 337 5.931 3085.71 305.138 0.054755367 0.098492384 -0.11736251 8.451 2.68 34.8 0.683
253 1060426 259.92898265 -1.2561472347 17.082 r 17.0455 348 4.896 3227.659 366.491 0.090394512 0.052678261 -0.034107707 4.657 3.211 68.9 0.31
902 1112186 260.08716502 -1.221858837 16.92 r 16.7505 431 5.007 1918.863 650.28 0.044638138 0.082584791 0.0042900532 4.74 3.477 -3.2 0.266
1156 432155 260.13032269 -1.1711384938 16.219 r 15.6741 1639 13.618 1561.764 1070.031 0.017009757 0.0076158908 0.0052613379 12.013 7.517 -75.4 0.374
1270 246780 259.94130367 -1.1962525706 15.844 r 15.7927 989 5.898 3125.731 862.182 0.039625235 0.022669356 -0.0079433201 6.775 4.968 77.4 0.267
1370 263850 260.06790634 -1.1936565211 16.554 r 16.5058 561 6.63 2078.208 883.683 0.044867687 0.032204073 0.0289899 6.635 4.289 -56.8 0.353
1950 1060436 260.17863117 -1.1660283452 17.177 r 17.0951 320 4.361 1162.048 1112.307 0.064850055 0.095959246 0.04993711 4.429 3.018 -29.0 0.319
2237 132495 260.16985947 -1.1491784278 16.013 r 16.0961 520 4.002 1234.622 1251.759 0.050931767 0.10378569 -0.079390995 5.805 2.828 28.2 0.513
2245 246781 259.99598537 -1.1451787782 16.106 r 16.1497 890 8.405 2673.296 1284.877 0.023013253 0.027751036 0.0097692776 7.079 5.697 -32.1 0.195
2317 432157 260.01765263 -1.1422442333 16.409 r 16.2161 622 5.805 2494.016 1309.166 0.044640619 0.045170594 0.00031236815 4.735 4.703 -15.3 0.007
