# %ECSV 0.9
# ---
# datatype:
# - name: sexcat_id
#   datatype: int32
# - name: glade_id
#   datatype: int32
# - name: ra_dec
#   datatype: float64
# - name: dec_dec
#   datatype: float64
# - name: glade_B
#   datatype: float64
# - name: filter
#   datatype: unicode
# - name: sex_mag
#   datatype: float64
# - name: num_pixels
#   datatype: int32
# meta: !!omap
# - comment:
#   - image_file=/data/LCO/Swope/workstch/gw190425/1/s005aae24707.r.ut190428.4153_stch_1.sw.fits
# schema: astropy-2.0
sexcat_id glade_id ra_dec dec_dec glade_B filter sex_mag num_pixels
112 1060425 259.94613849 -1.263561353 17.521 r 17.1979 337
253 1060426 259.92898265 -1.2561472347 17.082 r 17.0455 348
902 1112186 260.08716502 -1.221858837 16.92 r 16.7505 431
1156 432155 260.13032269 -1.1711384938 16.219 r 15.6741 1639
1270 246780 259.94130367 -1.1962525706 15.844 r 15.7927 989
1370 263850 260.06790634 -1.1936565211 16.554 r 16.5058 561
1950 1060436 260.17863117 -1.1660283452 17.177 r 17.0951 320
2237 132495 260.16985947 -1.1491784278 16.013 r 16.0961 520
2245 246781 259.99598537 -1.1451787782 16.106 r 16.1497 890
2317 432157 260.01765263 -1.1422442333 16.409 r 16.2161 622
2541 327965 260.19895587 -1.1118380861 16.59 r 14.6336 3424
2544 429775 259.99021128 -1.1303359748 16.446 r 16.6853 545
2568 246794 260.19048087 -1.1308851636 16.907 r 17.0157 345
2698 429773 260.00123887 -1.1235770989 16.54 r 16.4328 612
2711 429774 259.9133758 -1.1187591523 16.573 r 16.5909 531
3831 246788 260.23346107 -1.0525624338 15.381 r 15.3153 1498
3876 432158 260.02041048 -1.0530739074 17.231 r 16.8567 359
3939 432152 259.83400167 -1.0514722574 16.201 r 16.2502 744
4027 34015 260.19380747 -1.0430841354 15.196 r 15.401 1402
4251 246793 260.23030121 -1.0372772197 16.746 r 16.9901 290
4304 328060 259.90684457 -1.0188042282 17.64 r 15.1709 2341
4371 432159 260.0748041 -1.0247024867 16.505 r 16.5138 830
4499 21677 260.20574235 -1.0149934143 15.176 r 15.2649 1529
4697 1060437 260.25137249 -1.0083185931 16.689 r 16.9196 507
4750 429778 260.22239578 -1.0062612564 17.19 r 17.1598 415
4783 246791 260.21828982 -0.99921123578 15.706 r 15.6758 1167
5004 12325 260.11738153 -0.97963360623 14.909 r 14.8982 2693
5637 1112187 260.12380391 -0.96077834119 17.344 r 17.4344 263
6015 246792 260.1666381 -0.93319952895 16.155 r 16.1456 857
6124 246787 260.1487456 -0.9307783473 16.895 r 16.9245 450
6188 432154 259.90002166 -0.92382290399 17.322 r 17.1591 398
7612 328255 260.03096511 -0.85440032493 17.04 r 14.9999 2128
