# %ECSV 0.9
# ---
# datatype:
# - {name: Galaxy_ID, datatype: int32}
# - {name: Galaxy_RA, datatype: float64}
# - {name: Galaxy_Dec, datatype: float64}
# - {name: PGC, datatype: string}
# - {name: Name_GWGC, datatype: string}
# - {name: Name_HyperLEDA, datatype: string}
# - {name: Name_2MASS, datatype: string}
# - {name: Name_SDSS_DR12, datatype: string}
# - {name: Galaxy_4D_Prob, datatype: float64}
# - {name: z, datatype: float64}
# - {name: z_Dist, datatype: float64}
# - {name: z_Dist_Err, datatype: float64}
# - {name: B, datatype: float64}
# - {name: K, datatype: float64}
# meta: !!omap
# - comment: [DCMP File=s005aae15411.i.ut190603.4083_stch_1.sw.dcmp, DB ID=5124, Field
#       Name=s005aae15411, RA (deg)=241.1914, Dec (deg)=17.8576, MJD=58638.14853, Exp
#       Time (sec)=360.0, Lim Mag=22.0538, Instrument=SWOPE, E(B-V)=0.0813019755185,
#     Filter=SDSS i, A_lambda=0.138050754430413, Net 2D Prob=1.095658738192e-05, Redistributed
#       2D Prob=0.0, Net 4D Prob=0.0003255693251477394, Weighted Mean Pixel Comp=1.0,
#     Weighted Mean Pixel Dist=175.501294368]
# schema: astropy-2.0
Galaxy_ID Galaxy_RA Galaxy_Dec PGC Name_GWGC Name_HyperLEDA Name_2MASS Name_SDSS_DR12 Galaxy_4D_Prob z z_Dist z_Dist_Err B K
369449 241.407 17.80155 None None SDSSJ160537.77+174805.6 None None 1.82413955817e-08 0.0339469369735 142.60286254 3.42246870095 21.49 nan
377001 241.344 17.75965 None None SDSSJ160522.48+174534.7 None None 9.57115836555e-07 0.0347174273587 145.923172933 3.50215615039 17.43 nan
377129 241.366 17.82963 None None SDSSJ160527.90+174946.7 None None 7.66371288899e-07 0.0340996070498 143.260479362 3.43825150469 17.48 nan
377142 241.336 17.86966 None None SDSSJ160520.58+175210.6 None None 6.95927950656e-07 0.0350303275152 147.272615588 3.5345427741 17.87 nan
377999 241.267 17.81756 None None SDSSJ160504.14+174903.3 None None 4.9885860744e-07 0.0336434868217 141.296197875 3.39110874901 17.8 nan
379584 241.343 17.75421 None None IC1179 None None 6.4933388606e-06 0.0372989586495 157.074600022 3.76979040054 16.07 nan
397405 241.364 17.85929 None None SDSSJ160527.27+175133.3 None None 1.19906879766e-07 0.0317345858673 133.089485683 3.19414765638 18.69 nan
397407 241.383 17.80722 None None SDSSJ160531.84+174826.1 None None 1.22710186634e-07 0.0321655060828 134.940118065 3.23856283356 18.82 nan
472905 241.372681 17.92857 None None 57070 16052944+1755428 None 4.25337845746e-08 0.063614 273.070378105 6.55368907452 16.065 11.957
495483 241.311066 17.91184 None None 1545091 16051465+1754426 None 0.0 0.1062006231 469.526633878 11.2686392131 18.08 14.063
5615 241.148987 17.721445 None None 56962 16043575+1743172 None 2.06122325592e-05 0.0355049277525 149.320575283 3.58369380679 14.33 10.191
9312 241.282867 17.757748 None None NGC6045 16050788+1745278 None 4.26584008958e-07 0.024939 104.057641403 2.49738339367 14.334 10.598
12842 241.287537 17.729971 None None NGC6047 16050900+1743478 None 1.56483314661e-06 0.028059 117.351119719 2.81642687326 14.417 10.85
15853 241.110504 17.741997 None None 56942 16042652+1744311 None 3.4418204138e-05 0.040846 172.46367881 4.13912829145 15.047 11.013
16250 241.111374 17.75033 None None NGC6040 16042672+1745011 None 7.6681376599e-05 0.0413404106702 174.614851759 4.19075644221 14.27 11.032
